transaction_amount,transaction_hour,customer_age,customer_transaction_count,customer_avg_transaction_amount,customer_failed_payment_count,customer_chargeback_count,transactions_last_10_minutes,transactions_last_1_hour,account_age_days,distance_from_billing_location,ip_country_match,device_trust_score,new_device,new_ip,payment_method_age_days,card_bin_risk,merchant_risk_score,previous_fraud_flag,velocity_score,is_fraud
89.82,20,35,88,218.86,0,0,0,3,499,23.92,1,88,0,0,150,0.207,0.092,0,0.08,0
115.72,12,45,114,128.42,0,0,0,0,1093,5.31,1,82,0,0,605,0.126,0.05,0,1.41,0
205.62,19,40,11,39.79,1,0,0,3,457,0.58,1,70,0,0,621,0.115,0.117,0,0.34,0
42.65,13,39,33,35.37,0,0,0,2,1310,3.05,1,86,0,0,250,0.127,0.067,0,1.87,0
13356.29,1,55,4,72.95,4,1,10,17,11,3099.93,1,15,1,1,4,0.879,0.882,0,17.91,1
392.1,20,46,99,184.83,0,0,0,0,1414,34.62,1,70,0,0,523,0.194,0.166,0,1.5,0
389.57,20,61,62,291.21,0,0,0,1,283,2.21,1,76,0,0,703,0.013,0.064,0,1.48,0
239.16,11,47,119,88.82,0,0,0,0,1046,3.67,1,87,0,0,618,0.097,0.107,0,0.82,0
95.22,9,53,29,108.22,0,0,0,1,324,17.0,1,78,1,0,128,0.168,0.124,0,2.24,0
15284.13,1,20,2,146.19,6,1,10,8,6,2451.19,0,22,1,1,2,0.715,0.74,0,6.45,1
368.49,20,34,102,276.22,0,0,0,1,137,3.52,1,76,0,0,785,0.04,0.031,0,0.6,0
273.54,8,46,33,83.31,0,0,0,0,382,12.09,1,71,0,1,327,0.113,0.05,0,1.86,0
110.93,16,63,78,85.95,0,0,0,3,36,2.86,1,83,0,0,349,0.191,0.159,0,0.86,0
384.58,20,28,59,77.21,0,0,1,0,418,4.91,1,90,0,1,221,0.086,0.109,0,2.16,0
56.03,14,32,85,129.44,0,0,0,0,850,8.91,1,76,0,0,229,0.214,0.123,0,2.43,0
112.06,20,23,70,281.91,1,0,0,1,245,10.28,1,79,0,0,152,0.234,0.02,0,1.84,0
194.24,12,25,18,165.98,0,0,0,3,320,7.25,1,88,0,0,351,0.188,0.041,0,2.11,0
169.38,10,64,105,296.89,0,0,0,1,145,1.51,1,75,0,1,542,0.166,0.127,0,1.57,0
401.32,10,21,102,214.11,0,0,0,1,399,6.17,1,94,1,0,737,0.043,0.138,0,2.5,0
407.14,14,58,86,77.59,0,0,0,3,1151,5.32,1,81,0,1,427,0.1,0.147,0,0.62,0
267.83,22,25,67,128.57,0,0,0,1,861,19.61,1,84,0,1,744,0.204,0.19,0,1.94,0
358.03,13,24,66,244.0,0,0,0,0,104,14.49,1,85,0,0,104,0.161,0.157,0,1.21,0
32.71,13,48,32,98.51,0,0,0,3,1071,22.77,1,93,0,0,565,0.027,0.193,0,0.93,0
230.19,18,44,21,208.88,0,0,0,3,1279,16.19,0,98,0,0,140,0.228,0.096,0,0.95,0
218.64,15,59,24,141.7,0,0,0,3,394,15.4,1,80,0,0,475,0.21,0.131,0,0.95,0
289.65,21,52,114,183.14,0,0,0,3,525,10.6,1,93,1,0,651,0.072,0.16,0,0.87,0
184.78,10,22,79,283.2,0,0,0,3,400,1.45,1,85,0,1,63,0.101,0.032,0,2.01,0
92.46,8,57,32,228.3,0,0,0,3,590,9.49,1,72,0,1,335,0.205,0.117,0,1.67,0
89.25,20,59,65,230.01,0,0,0,3,264,10.95,1,95,0,0,153,0.12,0.077,0,2.25,0
209.52,15,32,85,127.54,0,0,0,0,855,22.56,1,79,0,0,735,0.133,0.076,0,0.45,0
220.36,12,65,33,62.6,0,0,0,3,567,25.61,1,83,0,0,582,0.018,0.13,0,0.06,0
331.92,13,65,15,202.78,0,0,0,3,905,4.58,1,72,0,0,67,0.034,0.177,0,1.52,0
88.56,9,35,107,203.3,0,0,0,3,915,12.46,1,76,0,0,202,0.057,0.027,0,1.9,0
55.63,11,48,85,95.06,1,0,0,0,704,28.99,1,93,0,0,645,0.08,0.088,0,0.8,0
19.23,10,44,61,165.5,0,0,0,3,789,30.33,1,93,1,0,566,0.145,0.12,0,1.57,0
369.38,17,27,61,112.95,0,0,0,1,677,11.68,1,77,0,0,163,0.104,0.103,0,1.91,0
205.29,22,22,23,280.47,0,0,0,3,895,6.69,1,75,1,1,122,0.248,0.048,0,1.01,0
347.1,17,63,55,81.75,0,0,1,0,1413,18.57,1,95,0,1,272,0.049,0.106,0,2.18,0
193.42,22,23,20,252.65,0,0,0,0,749,24.4,1,87,0,0,50,0.161,0.133,0,0.51,0
203.1,12,54,112,177.78,0,0,0,2,1195,50.0,1,90,0,0,742,0.159,0.151,0,0.29,0
105.87,11,24,95,289.06,0,0,0,3,1210,11.48,1,70,0,0,194,0.117,0.146,0,0.02,0
100.46,9,65,35,295.51,0,1,1,1,175,26.97,1,93,0,0,665,0.231,0.125,0,0.43,0
5047.65,4,30,14,111.64,7,4,12,22,6,5142.24,0,33,1,1,10,0.916,0.765,1,8.98,1
242.67,22,60,31,99.94,0,0,1,1,706,0.28,1,98,0,0,660,0.075,0.044,0,0.29,0
279.06,19,29,114,109.43,0,0,0,2,254,29.63,1,77,0,0,655,0.086,0.089,0,1.36,0
140.26,19,47,65,122.52,0,0,0,2,1160,12.25,1,92,0,0,522,0.227,0.106,0,1.51,0
237.17,19,21,44,217.38,0,0,0,0,147,4.22,1,90,1,0,356,0.166,0.137,0,0.44,0
396.41,11,59,26,90.36,1,0,0,3,46,2.73,1,97,0,0,530,0.114,0.119,0,1.93,0
3104.49,4,33,12,46.6,2,5,12,12,16,1314.77,0,23,1,1,10,0.673,0.938,0,16.35,1
205.81,18,49,19,233.28,1,0,0,1,213,25.97,1,91,0,0,732,0.065,0.037,0,0.48,0
210.81,19,21,39,172.85,1,0,0,0,248,5.28,1,92,0,0,83,0.166,0.133,0,0.67,0
137.94,10,43,120,210.78,0,0,0,0,538,40.22,1,98,0,0,156,0.11,0.119,0,2.05,0
92.21,11,21,29,73.53,0,1,0,0,1043,20.15,1,79,0,0,431,0.043,0.062,0,1.48,0
178.42,10,45,22,70.63,0,0,0,2,793,77.81,1,98,0,0,691,0.162,0.118,0,0.33,0
449.15,15,22,48,132.03,0,0,0,3,635,3.62,1,82,0,0,258,0.044,0.158,0,0.09,0
239.0,22,49,33,292.11,0,0,0,2,595,9.03,1,75,0,0,365,0.134,0.12,0,2.38,0
271.62,10,64,53,247.06,1,1,0,2,233,7.8,1,98,0,1,239,0.057,0.194,0,0.09,0
55.74,15,43,6,280.5,0,0,0,0,1244,27.37,1,81,0,1,331,0.206,0.033,0,2.33,0
154.49,22,44,86,201.51,0,0,0,1,124,1.66,1,86,0,1,600,0.132,0.185,0,1.49,0
416.65,20,36,10,38.97,0,0,0,2,1175,1.6,1,76,1,0,19,0.163,0.021,0,1.65,0
3997.14,3,53,1,108.37,7,4,9,15,12,3883.07,0,30,1,1,1,0.862,0.63,1,11.03,1
374.48,21,45,65,119.5,1,0,0,1,1255,6.59,1,85,0,1,600,0.053,0.1,0,0.34,0
385.47,22,25,120,32.58,0,0,0,1,1168,31.7,1,99,0,0,546,0.239,0.034,0,1.56,0
117.3,14,33,7,244.33,0,0,0,2,641,2.46,1,91,1,0,796,0.234,0.185,0,0.37,0
178.06,19,37,64,211.78,0,0,0,1,521,21.26,1,72,0,0,383,0.073,0.06,0,0.27,0
140.22,7,62,75,250.17,0,0,0,1,132,20.24,1,89,0,0,426,0.164,0.105,0,1.9,0
42.73,14,22,17,41.06,0,0,0,3,32,3.71,1,73,0,0,511,0.158,0.081,0,1.01,0
367.55,16,44,32,249.77,0,0,0,2,410,10.04,0,71,0,0,684,0.01,0.133,0,0.72,0
124.29,13,56,17,295.61,1,0,0,1,966,30.65,1,88,0,1,309,0.1,0.032,0,2.15,0
385.13,7,54,76,275.04,1,0,0,0,452,0.49,1,70,0,1,125,0.157,0.06,0,0.81,0
446.18,18,27,74,121.2,0,0,1,2,421,13.71,1,86,0,0,177,0.128,0.134,0,1.96,0
306.93,16,32,95,258.04,1,0,0,3,763,6.14,1,74,1,0,111,0.106,0.134,0,0.54,0
39.0,9,42,24,175.11,0,0,0,3,650,12.09,1,81,0,0,263,0.172,0.138,0,0.61,0
271.88,10,23,105,244.81,0,0,0,2,35,10.72,1,92,0,1,518,0.072,0.037,0,0.98,0
331.99,12,37,102,150.0,0,0,0,0,1427,28.72,1,74,0,0,410,0.06,0.184,0,0.9,0
241.97,20,65,14,91.73,0,0,0,2,704,8.9,1,70,1,1,639,0.159,0.149,0,1.43,0
375.66,17,56,26,43.6,0,0,0,2,163,11.27,1,83,0,0,366,0.173,0.028,0,0.16,0
30.5,7,57,28,298.47,2,0,0,3,1313,0.28,1,90,0,0,470,0.136,0.136,0,0.7,0
107.63,14,33,102,122.73,0,0,0,2,753,15.31,1,78,0,0,149,0.118,0.035,0,2.28,0
287.32,22,64,98,112.78,0,1,0,2,514,3.8,1,87,0,0,48,0.243,0.13,0,0.86,0
433.14,22,33,77,263.87,0,0,0,1,698,4.72,1,96,0,1,386,0.069,0.052,0,0.69,0
292.19,15,33,84,265.06,1,0,0,1,756,10.95,1,78,0,0,158,0.086,0.023,0,2.37,0
307.7,7,40,48,36.25,0,0,0,2,494,32.41,1,84,0,0,718,0.171,0.062,0,1.23,0
289.49,15,52,77,52.14,0,0,0,1,1233,28.05,1,75,0,1,703,0.229,0.05,0,2.31,0
43.86,21,24,64,103.66,0,0,0,1,1357,3.3,1,98,0,0,701,0.077,0.197,0,0.3,0
261.24,13,49,21,181.34,0,0,0,1,1245,0.99,1,83,0,0,185,0.235,0.045,0,0.98,0
449.95,12,27,116,84.62,0,0,0,0,1056,35.07,1,82,0,0,409,0.164,0.186,0,1.06,0
49.99,16,53,76,85.85,0,0,0,0,486,27.9,1,94,0,0,687,0.097,0.101,0,1.65,0
197.56,19,25,77,123.3,0,0,0,1,1064,5.87,1,92,1,0,666,0.212,0.19,0,1.53,0
235.5,20,26,76,105.71,0,0,0,0,818,34.18,1,81,1,0,555,0.172,0.167,0,1.95,0
366.54,12,46,86,107.39,2,0,0,3,1097,8.73,1,72,0,0,582,0.243,0.108,0,0.77,0
191.27,18,65,8,241.56,0,0,0,1,1362,2.97,1,99,0,0,555,0.242,0.032,0,1.52,0
234.25,22,60,60,159.27,0,0,0,1,821,13.59,1,76,1,0,722,0.066,0.06,0,1.94,0
445.86,10,64,25,250.51,0,0,0,0,614,40.83,1,79,1,0,282,0.081,0.078,0,1.38,0
411.07,15,22,71,64.42,0,0,0,2,966,9.95,1,73,1,1,694,0.067,0.096,0,1.94,0
363.92,12,39,31,104.37,0,0,0,0,1366,19.77,1,77,0,0,343,0.092,0.143,0,1.58,0
4037.15,4,53,5,21.3,6,2,8,22,8,7008.63,1,35,1,1,7,0.825,0.708,1,8.5,1
333.85,18,32,96,151.73,0,0,0,1,210,3.73,1,84,0,0,184,0.137,0.183,0,2.23,0
156.48,21,53,44,239.76,0,0,0,0,218,6.71,1,93,0,0,386,0.044,0.107,0,1.69,0
367.26,22,61,94,228.09,0,0,0,1,492,1.72,1,82,0,0,53,0.204,0.091,0,1.18,0
919.88,3,32,13,88.34,2,4,5,21,18,2845.95,0,25,1,1,1,0.852,0.526,0,15.32,1
367.05,18,22,116,107.09,0,0,1,2,36,1.91,1,98,0,1,465,0.061,0.069,0,1.78,0
247.54,11,64,95,225.37,0,0,0,1,470,4.94,1,94,0,0,54,0.084,0.082,0,1.64,0
387.71,19,65,63,219.51,0,0,0,2,814,11.47,1,93,0,0,719,0.154,0.198,0,0.36,0
156.82,12,51,97,174.54,1,0,0,0,388,32.99,1,97,0,0,601,0.2,0.11,0,0.45,0
367.97,22,23,100,127.02,0,0,0,2,162,17.72,1,98,0,1,128,0.03,0.189,0,0.45,0
300.13,11,41,60,147.85,1,0,0,0,1052,16.7,1,78,0,0,453,0.021,0.177,0,0.29,0
47.12,20,51,76,129.61,0,0,1,1,1053,24.32,1,83,0,0,277,0.065,0.174,0,0.85,0
132.7,18,42,52,231.55,0,0,0,3,62,26.25,1,96,0,0,336,0.047,0.047,0,0.8,0
192.89,9,51,52,175.48,0,0,0,0,1234,26.95,1,98,0,0,428,0.193,0.076,0,0.57,0
296.25,7,29,65,113.61,1,0,0,1,1409,35.13,1,75,1,0,260,0.246,0.101,0,1.94,0
235.89,8,57,112,218.64,1,0,0,1,1324,57.36,1,96,0,0,236,0.018,0.194,0,0.67,0
283.8,13,58,35,231.43,0,0,0,1,1376,2.73,1,70,0,0,713,0.229,0.187,0,1.24,0
2113.9,3,33,15,133.14,3,5,4,22,18,6204.53,0,37,1,1,1,0.698,0.588,1,15.97,1
50.22,16,36,38,287.17,0,0,0,0,578,11.49,0,91,0,0,754,0.06,0.151,0,1.25,0
372.34,17,21,24,272.06,1,0,0,3,568,11.03,0,84,0,0,664,0.118,0.195,0,0.55,0
319.66,21,32,108,182.1,0,0,0,2,620,2.22,1,94,0,0,380,0.122,0.049,0,0.82,0
380.48,8,64,33,40.34,0,0,0,3,1200,7.76,1,99,0,0,266,0.099,0.155,0,0.85,0
293.88,7,31,104,38.07,0,0,0,1,458,4.22,1,91,0,1,49,0.059,0.054,0,1.13,0
149.26,7,57,7,137.92,0,0,0,0,625,1.46,1,78,0,0,180,0.193,0.033,0,0.84,0
150.14,9,55,18,179.87,0,0,0,3,1491,35.09,1,93,0,1,495,0.24,0.134,0,0.24,0
358.34,10,60,23,291.46,1,0,0,2,1276,19.58,1,79,0,0,612,0.069,0.102,0,1.8,0
356.62,19,50,117,229.1,0,0,0,0,1252,7.15,1,88,0,1,203,0.043,0.088,0,1.43,0
235.99,10,35,34,195.5,0,0,0,3,1199,1.67,1,80,0,0,674,0.186,0.059,0,1.73,0
266.0,22,46,114,136.11,0,0,0,2,712,25.94,1,81,0,0,362,0.131,0.136,0,2.31,0
443.2,8,33,116,214.8,0,0,1,3,565,33.3,1,82,0,0,239,0.064,0.141,0,0.18,0
340.31,20,39,116,81.29,0,0,0,1,697,13.19,1,77,0,1,273,0.157,0.024,0,0.02,0
298.22,14,40,82,188.21,0,0,0,2,127,3.2,1,91,0,0,247,0.14,0.028,1,1.78,0
100.64,17,27,5,179.47,0,0,0,2,468,4.97,1,96,0,1,167,0.096,0.08,0,1.09,0
318.31,7,26,92,260.93,0,0,1,2,1152,17.29,1,77,0,1,444,0.246,0.114,0,1.04,0
51.54,11,28,44,289.64,0,0,0,2,817,0.46,0,95,0,1,182,0.109,0.032,0,0.7,0
366.83,8,31,70,165.18,1,0,1,2,523,42.21,1,89,0,0,581,0.025,0.075,0,1.6,0
359.13,14,22,59,118.74,0,0,1,2,213,13.74,1,71,0,0,95,0.098,0.054,0,2.32,0
67.68,11,48,55,128.48,0,0,0,3,614,29.91,1,91,1,0,276,0.062,0.155,0,1.44,0
112.77,9,27,64,240.31,1,0,1,0,321,5.97,1,84,0,1,734,0.053,0.134,0,1.55,0
384.86,10,55,115,50.3,0,0,0,3,173,8.38,1,97,0,1,129,0.153,0.044,0,1.9,0
37.92,16,60,59,146.17,0,0,0,3,965,4.77,1,77,0,0,683,0.15,0.028,0,2.4,0
305.16,15,35,70,82.76,0,0,0,0,1089,1.16,1,78,0,0,193,0.112,0.167,0,1.4,0
267.88,8,22,27,145.35,0,0,0,1,205,1.01,1,73,0,1,638,0.162,0.138,0,0.89,0
293.98,11,45,110,260.15,0,0,0,3,881,82.25,1,98,0,1,565,0.088,0.192,0,0.79,0
31.87,14,32,96,166.29,1,0,0,3,1155,0.59,1,97,1,0,258,0.235,0.116,0,0.25,0
3171.32,1,25,1,54.83,2,2,4,20,11,1646.24,0,12,1,1,4,0.67,0.525,0,8.88,1
310.49,7,59,55,122.02,0,0,0,0,454,4.85,1,95,0,0,61,0.092,0.04,0,1.51,0
83.93,17,44,101,168.41,0,0,0,0,747,25.69,1,78,1,1,513,0.164,0.036,0,1.97,0
276.95,16,65,85,32.41,0,0,0,2,652,24.73,1,89,1,0,521,0.156,0.186,0,0.47,0
396.42,12,64,23,200.22,0,0,0,0,193,14.96,1,94,0,0,467,0.019,0.151,0,1.87,0
165.63,20,54,41,283.33,0,0,0,1,711,1.94,1,76,0,0,84,0.206,0.113,0,1.82,0
29.39,22,25,108,262.34,0,0,0,0,863,5.83,1,85,0,0,581,0.02,0.161,0,2.17,0
312.29,9,42,13,231.04,0,0,0,1,742,4.01,1,78,0,0,577,0.103,0.183,0,0.54,0
93.41,17,52,115,30.75,0,0,0,1,1380,16.84,1,78,0,0,345,0.015,0.158,0,1.29,0
193.92,12,53,34,241.93,0,0,0,1,240,45.9,1,75,1,0,734,0.078,0.17,0,1.43,0
113.47,18,65,5,188.24,0,0,0,3,733,1.0,1,72,0,0,632,0.044,0.132,0,0.18,0
220.22,18,28,56,46.68,0,0,0,2,904,4.12,1,86,0,1,701,0.207,0.138,0,0.4,0
105.42,11,55,109,173.23,0,0,0,0,544,32.05,1,72,1,0,799,0.091,0.052,0,0.53,0
1015.45,4,23,1,113.2,2,1,4,5,4,4766.59,0,45,0,1,1,0.928,0.588,1,12.27,1
275.14,15,25,62,135.19,0,0,0,2,150,9.63,1,70,0,0,509,0.145,0.161,0,1.21,0
423.73,16,63,26,46.31,0,0,0,2,1197,19.76,1,74,0,0,62,0.246,0.077,0,1.03,0
